what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362338126901
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1362338126998
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362338128874
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362338245112
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362338245488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362338246429
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362338247201
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362338906150
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339688219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339692415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339737228
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362339739502
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362339739911
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1362339739941
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362339741831
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362339863356
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339867573
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339867605
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339867668
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339868864
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339889026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339891928
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362339893119
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362339896129
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362339906118
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362339906386
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362339924790
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339945734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362339989832
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362339990761
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362339993166
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362339993220
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362339996504
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362339996792
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362339998513
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362340001793
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340008161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340010721
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340041410
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362340044349
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340045545
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362340045559
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1362340060116
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1362340060158
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362340060174
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362340060744
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362340075487
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1362340075584
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362340076747
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362340089474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340188546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340203233
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362340203343
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1362340206623
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362340207426
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362340208195
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362340209845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340262677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340270970
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340273902
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340277997
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340279107
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340279839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340281349
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340282183
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340282870
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340283544
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362340287306
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340426620
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340645508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340645982
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340647469
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340647828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340648325
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340648509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340649401
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340649645
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362340698937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340698966
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362340698979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340699578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340736232
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362340736251
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362340740681
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1362340740812
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362340742521
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362340757102
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1362340783124
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362340785058
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362340785971
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362340787822
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362340791426
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362340794818
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362340796220
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362340807832
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362340810628
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1362340810735
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362340813488
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362340817183
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362340821718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340824601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340826673
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340830759
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340914704
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362340916845
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1362340919555
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362340920440
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340925892
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340927009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340927267
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340931623
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362340934526
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362341069140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362341075236
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362341076159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362341077205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362341082343
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362341085714
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362341087274
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1362341089979
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362341091058
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362341098879
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362341133046
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1362341139392
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362341148399
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362341181196
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1362341181272
