what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1362427230865
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1362427230865
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1362427230866
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1362427230866
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1362427230867
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1362427230867
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1362427230867
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1362427230868
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1362427230868
os,sysinfo,,,"win32",1362427230870
arch,sysinfo,,,"x86",1362427230870
ws,sysinfo,,,"win32",1362427230870
locale,sysinfo,,,"en_GB",1362427230870
processors,sysinfo,,,"8",1362427230870
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1362427230870
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1362427230870
java.specification.name,sysinfo,,,"Java Platform API Specification",1362427230870
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362427230870
java.specification.version,sysinfo,,,"1.6",1362427230870
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1362427230870
java.version,sysinfo,,,"1.6.0_23",1362427230870
java.vm.info,sysinfo,,,"mixed mode",1362427230870
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1362427230870
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362427230870
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1362427230870
java.vm.specification.version,sysinfo,,,"1.0",1362427230870
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1362427230870
java.vm.version,sysinfo,,,"19.0-b09",1362427230870
