what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434543791
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434607903
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362434609565
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1362434609664
error,log,,,"Internal Error",1362434609698
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362434610870
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434614356
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434869318
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1362434873489
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434873696
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434874504
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434875045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434876470
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434877712
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434962270
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434969204
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362434979188
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434979420
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362434979432
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434988244
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362434989631
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1362434994237
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1362434994617
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1362435001822
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1362435001921
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1362435006462
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362435010304
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1362435011107
